Position,Artist Name,Song Name,Days,Peak Position,Total Streams
7090,Mac Miller ,"I Love Life, Thank You",2,47,737368
7091,Bon Iver ,10 d E A T h b R E a s T ⚄ ⚄,5,123,737015
7092,AJR ,Way Less Sad,3,99,736830
7093,NF ,WHY,3,158,736285
7094,Tate McRae ,don't come back,2,54,736247
7095,One Direction ,Change Your Ticket,10,75,735902
7096,Quavo ,KEEP THAT SHIT,2,55,735480
7097,A Boogie Wit da Hoodie ,Hit 'Em Up,2,84,735456
7098,The 1975 ,Tonight (I Wish I Was Your Boy),2,62,734944
7099,Joshua Bassett ,Lie Lie Lie,2,40,734831
7100,Fall Out Boy ,HOLD ME TIGHT OR DON’T,3,110,734640
7101,A Boogie Wit da Hoodie ,Voices In My Head,2,94,734244
7102,Trippie Redd ,Sickening,2,57,734038
7103,Johnny Mathis ,Sleigh Ride,2,118,733813
7104,TOOL ,7empest,2,77,733417
7105,A Boogie Wit da Hoodie ,Beasty,2,99,733045
7106,A Boogie Wit da Hoodie ,DTB 4 Life,2,89,732924
7107,Drake ,Free Spirit,2,61,732903
7108,Gucci Mane ,Miss My Woe,4,176,732801
7109,Hozier ,Nina Cried Power,2,54,731901
7110,Shotgun Shane ,Not Like Me,2,41,731869
7111,The Kid LAROI ,Fade Away,3,107,731503
7112,21 Savage ,Special,4,144,730489
7113,Lorde ,Fallen Fruit,2,55,730454
7114,Nicki Minaj ,Changed It,4,142,730116
7115,Summer Walker ,Session 33,2,50,729869
7116,Meek Mill ,Issues,4,153,729676
7117,Summer Walker ,Just Might,3,131,729327
7118,NAV ,To My Grave,2,53,728954
7119,Nick Jonas ,Touch,5,84,728697
7120,Phoebe Ryan ,Ignition / Do You... (Mashup),7,68,728306
7121,Future ,Bankroll,2,53,728077
7122,Drake ,Can I,2,63,727700
7123,Future ,I Don’t Wanna Break Up,2,54,727180
7124,Eslabon Armado ,VETE A LA FREGADA,2,66,726627
7125,Missy Elliott ,Get Ur Freak On,8,67,726611
7126,One Direction ,Home,6,65,726480
7127,NF ,Chasing_(Demo),3,93,726394
7128,The Kid LAROI ,NEED YOU MOST (So Sick),3,148,725959
7129,Black Eyed Peas ,I Gotta Feeling,3,56,725558
7130,The Carters ,NICE,3,145,724956
7131,Maroon 5 ,She Will Be Loved  Radio Mix,3,128,724782
7132,The Weeknd ,Starboy  Kygo Remix,5,131,724638
7133,Logic ,Cocaine,2,65,724439
7134,YG ,SLAY,2,69,723860
7135,Nicki Minaj ,Favorite,10,94,723669
7136,Joyner Lucas ,The War,3,109,723654
7137,Future ,Freak Hoe,8,108,723488
7138,Tory Lanez ,Staccato,3,156,722872
7139,Devin Dawson ,Christmas Time Is Here  Recorded at Sound Emporium Nashville,2,125,722631
7140,Kygo ,What's Love Got to Do with It,2,59,722394
7141,Gucci Mane ,Money Make Ya Handsome,4,149,722340
7142,Tori Kelly ,Let It Snow,2,159,722002
7143,BROCKHAMPTON ,SUGAR (Remix),2,88,721877
7144,Kid Cudi ,Want It Bad,2,40,721507
7145,Ellie Goulding ,Lost And Found,7,72,721339
7146,Future ,Lil One,8,100,720646
7147,YG ,I Be On,5,164,720010
7148,Josh Groban ,The First Noël,2,158,719877
7149,Polo G ,Bag Talk,2,68,719711
7150,NewJeans ,Attention,3,181,719462
7151,Beck ,Dreams,8,103,718784
